havesaksens;have+saksens
efterskolelærerne;efterskolelærerne
elevudveksling;elevudveksling
stillingsnedlæggelser;stillingsnedlæggelser
hovedkarakterernes;hovedkarakterernes
høstasters;høstasters
køkkenrulleholderen;køkkenrulleholderen
overvågningstjeneste;overvågningstjeneste
straksbøde;straksbøde
borgerbevægelsen;borgerbevægelsen
finansindustriens;finansindustriens
konkurstallene;konkurstallene
forfaldshistorien;forfaldshistorien
lommepark;lommepark
lønfordeling;lønfordeling
musikuddannelserne;musikuddannelserne
supertungt;supertungt
kirkekunstner;kirkekunstner
ikkekriminelle;ikkekriminelle
forestillingskraften;forestillingskraften
vedkendelse;vedkendelse
runetegn;runetegn
inderfor;inderfor
solsikkemark;solsikkemark
samtidskritikken;samtidskritikken
fyringsvarsler;fyringsvarsler
sformand;sformand
ejendomstransaktioner;ejendomstransaktioner
transformativ;transformativ
grundudstyret;grundudstyret
rammesættes;rammesættes
konkursforsikring;konkursforsikring
stabiliseringsindsatser;stabiliseringsindsatser
gidselforhandlere;gidselforhandlere
kapacitetstilpasning;kapacitetstilpasning
underfinansieret;underfinansieret
ornelugt;ornelugt
musikforlægger;musikforlægger
silderogn;silderogn
gasstrømmen;gasstrømmen
skrædderværksted;skrædderværksted
griseblod;griseblod
dobbeltstjernesystem;dobbeltstjernesystem
betalingsstrøm;betalingsstrøm
madindtaget;madindtaget
lysfølere;lysfølere
fondsansøgning;fondsansøgning
elafgifterne;elafgifterne
baggrundstæppet;baggrundstæppet
rammelokalplan;rammelokalplan
juledessert;juledessert
hjerteknust;hjerteknust
temperaturstyring;temperaturstyring
busplanerne;busplanerne
ledbelysning;ledbelysning
fiktionsforfattere;fiktionsforfattere
kartoffelsække;kartoffelsække
ledlamper;ledlamper
tryllepulver;tryllepulver
artsdiversitet;artsdiversitet
midttrafiks;midttrafiks
strømledende;strømledende
næseløse;næseløse
mærkeligheder;mærkeligheder
livsveje;livsveje
